ID,Curso,Origem,Especialidade_Medico,Consultor,Etapa,Status,Valor_Proposta_R$,Data_Primeiro_Contato,Dias_No_Funil,Motivo_Perda,Turma_Interesse,Score_Lead,Observacoes
562,NEXAL,Email Marketing,Endocrinologia,Vendedor 6,Lead Captado,Em andamento,9800.00,18/02/2026,85,,T3/26,79,Aguardando primeiro contato
563,EAD,WhatsApp,Pediatria,Vendedor 7,Matriculado,Ganho,1200.00,18/02/2026,95,,T2/26,34,Boleto gerado
564,HTI,Parceiro Clínica,Cardiologia,Vendedor 2,Proposta Enviada,Em andamento,15085.80,14/06/2026,70,,T3/26,93,Aguardando leitura
565,POS,Indicação,Ginecologia,Vendedor 3,Lead Captado,Em andamento,32300.00,11/01/2026,93,,T4/26,45,Aguardando primeiro contato
566,EAD,Congresso,Pediatria,Vendedor 4,Matriculado,Ganho,1140.00,29/05/2026,20,,T2/26,39,Pagamento confirmado
567,EAD,Google Ads,Pediatria,Vendedor 4,Lead Captado,Em andamento,1140.00,04/03/2026,6,,T2/26,31,Aguardando primeiro contato
568,EAD,Indicação,Dermatologia,Vendedor 1,Matriculado,Ganho,1200.00,13/02/2026,79,,T1/26,43,Pagamento confirmado
569,POS,Parceiro Clínica,Medicina do Trabalho,Vendedor 5,Lead Captado,Em andamento,38000.00,28/03/2026,55,,T4/26,71,Aguardando primeiro contato
570,EAD,Parceiro Clínica,Ortopedia,Vendedor 5,Proposta Enviada,Em andamento,1020.00,12/01/2026,28,,T2/26,72,Follow-up agendado para 3 dias
571,HTI,Instagram,Endocrinologia,Vendedor 1,Proposta Enviada,Em andamento,15973.20,22/05/2026,48,,T2/26,86,Follow-up agendado para 3 dias
572,R2,Indicação,Endocrinologia,Vendedor 7,Matriculado,Ganho,7650.00,07/04/2026,79,,T2/26,32,Parcelado 12x aprovado
573,HTI,Indicação,Ginecologia,Vendedor 5,Perdido,Perdido,15973.20,01/06/2026,84,Proposta não aprovada pela empresa,T4/26,90,Confirmou escolha do concorrente
574,SHHE,Email Marketing,Endocrinologia,Vendedor 4,Proposta Enviada,Em andamento,14900.00,03/03/2026,53,,T2/26,34,Aguardando leitura
575,SHHE,Webinar,Medicina do Trabalho,Vendedor 7,Negociação,Em andamento,12665.00,31/03/2026,39,,T4/26,30,Proposta revisada enviada
576,SHHE,LinkedIn,Ortopedia,Vendedor 7,Negociação,Em andamento,12665.00,19/05/2026,98,,T2/26,89,Proposta revisada enviada
577,NEXAL,Indicação,Cardiologia,Vendedor 7,Matriculado,Ganho,8820.00,02/05/2026,109,,T4/26,52,Boleto gerado
578,EAD,Indicação,Ginecologia,Vendedor 4,Proposta Enviada,Em andamento,1200.00,06/03/2026,56,,T3/26,88,Follow-up agendado para 3 dias
579,HTI,Indicação,Ortopedia,Vendedor 5,Contato Realizado,Em andamento,17748.00,12/05/2026,63,,T1/26,39,Demo agendada
580,EAD,Webinar,Medicina do Trabalho,Vendedor 6,Proposta Enviada,Em andamento,1200.00,23/06/2026,96,,T3/26,59,Follow-up agendado para 3 dias
581,NEXAL,Email Marketing,Clínica Geral,Vendedor 5,Matriculado,Ganho,8330.00,07/04/2026,26,,T2/26,39,Parcelado 12x aprovado
582,R2,Webinar,Ginecologia,Vendedor 2,Contato Realizado,Em andamento,8075.00,15/02/2026,59,,T4/26,77,Demo agendada
583,POS,Email Marketing,Neurologia,Vendedor 3,Perdido,Perdido,38000.00,02/02/2026,43,Preço acima do esperado,T1/26,65,Lead frio
584,HTI,Webinar,Pediatria,Vendedor 2,Contato Realizado,Em andamento,17748.00,17/03/2026,29,,T2/26,51,Pediu proposta
585,R2,Email Marketing,Clínica Geral,Vendedor 2,Matriculado,Ganho,8500.00,25/02/2026,111,,T4/26,89,Pix recebido
586,HTI,Site Orgânico,Geriatria,Vendedor 1,Proposta Enviada,Em andamento,17748.00,29/05/2026,56,,T2/26,49,Aguardando leitura
587,HTI,Site Orgânico,Ginecologia,Vendedor 7,Perdido,Perdido,15973.20,10/05/2026,99,Preço acima do esperado,T4/26,97,Não retornou após 5 contatos
588,POS,LinkedIn,Pediatria,Vendedor 2,Proposta Enviada,Em andamento,36100.00,04/01/2026,97,,T4/26,57,Follow-up agendado para 3 dias
589,NEXAL,Instagram,Cardiologia,Vendedor 4,Perdido,Perdido,9800.00,21/06/2026,62,Proposta não aprovada pela empresa,T2/26,88,Confirmou escolha do concorrente
590,EAD,Parceiro Clínica,Ginecologia,Vendedor 2,Negociação,Em andamento,1200.00,14/04/2026,112,,T2/26,77,Em análise de parcelamento
591,EAD,Indicação,Neurologia,Vendedor 7,Proposta Enviada,Em andamento,1080.00,16/05/2026,43,,T1/26,67,Proposta personalizada enviada
592,NEXAL,Parceiro Clínica,Ortopedia,Vendedor 6,Matriculado,Ganho,8330.00,21/01/2026,88,,T3/26,37,Pix recebido
593,HTI,LinkedIn,Psiquiatria,Vendedor 3,Negociação,Em andamento,17748.00,04/04/2026,47,,T2/26,38,Proposta revisada enviada
594,SHHE,WhatsApp,Cardiologia,Vendedor 6,Contato Realizado,Em andamento,14900.00,29/05/2026,95,,T2/26,58,Interesse demonstrado
595,NEXAL,Instagram,Ortopedia,Vendedor 4,Proposta Enviada,Em andamento,9800.00,06/04/2026,9,,T3/26,87,Proposta personalizada enviada
596,R2,Congresso,Clínica Geral,Vendedor 2,Matriculado,Ganho,7650.00,17/05/2026,106,,T3/26,87,Pix recebido
597,EAD,LinkedIn,Cardiologia,Vendedor 2,Contato Realizado,Em andamento,1200.00,15/02/2026,115,,T3/26,39,Demo agendada
598,SHHE,Instagram,Clínica Geral,Vendedor 4,Contato Realizado,Em andamento,14900.00,22/02/2026,112,,T1/26,67,Interesse demonstrado
599,EAD,Congresso,Endocrinologia,Vendedor 2,Proposta Enviada,Em andamento,1200.00,15/06/2026,95,,T1/26,67,Follow-up agendado para 3 dias
600,HTI,Indicação,Cardiologia,Vendedor 1,Perdido,Perdido,15973.20,16/04/2026,43,Adiou para próxima turma,T3/26,92,Confirmou escolha do concorrente
601,EAD,Congresso,Ortopedia,Vendedor 2,Negociação,Em andamento,1140.00,20/03/2026,17,,T2/26,63,Proposta revisada enviada
602,POS,WhatsApp,Dermatologia,Vendedor 1,Matriculado,Ganho,38000.00,14/03/2026,46,,T4/26,51,Boleto gerado
603,EAD,Congresso,Dermatologia,Vendedor 5,Perdido,Perdido,1020.00,27/06/2026,91,Sem tempo no momento,T2/26,60,Lead frio
604,HTI,WhatsApp,Medicina do Trabalho,Vendedor 5,Proposta Enviada,Em andamento,17748.00,22/02/2026,24,,T1/26,70,Proposta personalizada enviada
605,SHHE,WhatsApp,Pediatria,Vendedor 6,Perdido,Perdido,14155.00,01/02/2026,39,Preço acima do esperado,T4/26,93,Lead frio
606,POS,WhatsApp,Endocrinologia,Vendedor 7,Perdido,Perdido,36100.00,26/03/2026,65,Proposta não aprovada pela empresa,T4/26,67,Confirmou escolha do concorrente
607,EAD,Google Ads,Medicina do Trabalho,Vendedor 4,Perdido,Perdido,1200.00,26/06/2026,44,Escolheu concorrente,T4/26,35,Lead frio
608,EAD,Congresso,Clínica Geral,Vendedor 3,Lead Captado,Em andamento,1140.00,26/02/2026,108,,T4/26,75,Aguardando primeiro contato
609,NEXAL,Indicação,Medicina do Trabalho,Vendedor 4,Contato Realizado,Em andamento,9310.00,13/03/2026,29,,T2/26,32,Demo agendada
610,R2,Webinar,Neurologia,Vendedor 4,Perdido,Perdido,8075.00,19/02/2026,51,Desistiu por mudança de prioridades,T3/26,95,Lead frio
611,EAD,WhatsApp,Psiquiatria,Vendedor 5,Matriculado,Ganho,1200.00,09/04/2026,48,,T3/26,31,Pix recebido
612,NEXAL,WhatsApp,Dermatologia,Vendedor 2,Matriculado,Ganho,9800.00,24/04/2026,28,,T4/26,86,Pix recebido
613,SHHE,Site Orgânico,Geriatria,Vendedor 2,Contato Realizado,Em andamento,14155.00,23/01/2026,77,,T2/26,56,Interesse demonstrado
614,POS,Congresso,Nutrologia,Vendedor 7,Perdido,Perdido,36100.00,07/04/2026,97,Escolheu concorrente,T1/26,82,Confirmou escolha do concorrente
615,NEXAL,Site Orgânico,Endocrinologia,Vendedor 6,Negociação,Em andamento,9310.00,05/02/2026,97,,T2/26,53,Em análise de parcelamento
616,NEXAL,Congresso,Pediatria,Vendedor 7,Matriculado,Ganho,9800.00,30/05/2026,107,,T3/26,93,Parcelado 12x aprovado
617,SHHE,Indicação,Ginecologia,Vendedor 5,Proposta Enviada,Em andamento,13410.00,12/06/2026,107,,T4/26,45,Aguardando leitura
618,EAD,Instagram,Psiquiatria,Vendedor 5,Negociação,Em andamento,1080.00,04/03/2026,83,,T1/26,45,Esperando retorno do cônjuge
619,POS,LinkedIn,Medicina do Trabalho,Vendedor 4,Proposta Enviada,Em andamento,38000.00,22/04/2026,73,,T3/26,90,Aguardando leitura
620,HTI,WhatsApp,Ortopedia,Vendedor 4,Negociação,Em andamento,15085.80,11/02/2026,34,,T1/26,48,Esperando retorno do cônjuge
621,POS,Google Ads,Nutrologia,Vendedor 5,Lead Captado,Em andamento,38000.00,12/06/2026,54,,T3/26,36,Aguardando primeiro contato
622,NEXAL,Congresso,Neurologia,Vendedor 7,Negociação,Em andamento,8330.00,16/02/2026,81,,T1/26,51,Esperando retorno do cônjuge
623,NEXAL,Instagram,Dermatologia,Vendedor 4,Matriculado,Ganho,9800.00,17/05/2026,13,,T3/26,48,Pagamento confirmado
624,SHHE,Congresso,Dermatologia,Vendedor 3,Matriculado,Ganho,14900.00,11/02/2026,44,,T1/26,57,Boleto gerado
625,R2,Email Marketing,Cardiologia,Vendedor 1,Matriculado,Ganho,8075.00,15/05/2026,89,,T1/26,83,Parcelado 12x aprovado
626,HTI,LinkedIn,Endocrinologia,Vendedor 7,Negociação,Em andamento,17748.00,03/04/2026,89,,T2/26,86,Esperando retorno do cônjuge
627,SHHE,Instagram,Ginecologia,Vendedor 4,Matriculado,Ganho,14900.00,27/06/2026,17,,T2/26,59,Pix recebido
628,SHHE,Email Marketing,Endocrinologia,Vendedor 7,Proposta Enviada,Em andamento,12665.00,29/01/2026,101,,T1/26,32,Proposta personalizada enviada
629,POS,Indicação,Cardiologia,Vendedor 7,Lead Captado,Em andamento,34200.00,01/06/2026,66,,T1/26,90,Aguardando primeiro contato
630,NEXAL,Indicação,Clínica Geral,Vendedor 3,Matriculado,Ganho,8330.00,01/02/2026,13,,T2/26,55,Boleto gerado
631,EAD,WhatsApp,Ginecologia,Vendedor 7,Contato Realizado,Em andamento,1080.00,29/05/2026,36,,T3/26,75,Demo agendada
632,R2,Parceiro Clínica,Cardiologia,Vendedor 6,Negociação,Em andamento,8500.00,29/05/2026,105,,T1/26,97,Proposta revisada enviada
633,EAD,Email Marketing,Dermatologia,Vendedor 5,Perdido,Perdido,1140.00,26/01/2026,1,Não respondeu após follow-up,T4/26,76,Confirmou escolha do concorrente
634,R2,Google Ads,Pediatria,Vendedor 4,Perdido,Perdido,8500.00,01/04/2026,107,Perfil não alinhado com o curso,T4/26,57,Confirmou escolha do concorrente
635,SHHE,Site Orgânico,Clínica Geral,Vendedor 1,Perdido,Perdido,14900.00,29/01/2026,60,Questões financeiras pessoais,T2/26,93,Não retornou após 5 contatos
636,EAD,Instagram,Ortopedia,Vendedor 4,Lead Captado,Em andamento,1200.00,30/01/2026,64,,T4/26,66,Aguardando primeiro contato
637,R2,Instagram,Neurologia,Vendedor 1,Proposta Enviada,Em andamento,8075.00,16/03/2026,53,,T4/26,54,Follow-up agendado para 3 dias
638,POS,WhatsApp,Endocrinologia,Vendedor 7,Perdido,Perdido,38000.00,27/01/2026,87,Perfil não alinhado com o curso,T4/26,96,Confirmou escolha do concorrente
639,EAD,LinkedIn,Clínica Geral,Vendedor 5,Proposta Enviada,Em andamento,1080.00,27/01/2026,76,,T2/26,38,Proposta personalizada enviada
640,SHHE,WhatsApp,Cardiologia,Vendedor 6,Matriculado,Ganho,14900.00,01/03/2026,16,,T4/26,93,Pix recebido
641,EAD,Parceiro Clínica,Medicina do Trabalho,Vendedor 3,Matriculado,Ganho,1020.00,13/04/2026,83,,T3/26,90,Parcelado 12x aprovado
642,POS,Congresso,Dermatologia,Vendedor 5,Matriculado,Ganho,38000.00,06/03/2026,16,,T4/26,93,Boleto gerado
643,EAD,Google Ads,Ginecologia,Vendedor 7,Matriculado,Ganho,1020.00,08/05/2026,9,,T1/26,52,Parcelado 12x aprovado
644,R2,WhatsApp,Endocrinologia,Vendedor 3,Negociação,Em andamento,8500.00,20/01/2026,98,,T4/26,89,Proposta revisada enviada
645,NEXAL,Webinar,Pediatria,Vendedor 6,Proposta Enviada,Em andamento,9800.00,19/05/2026,104,,T1/26,34,Proposta personalizada enviada
646,HTI,Site Orgânico,Pediatria,Vendedor 3,Matriculado,Ganho,17748.00,10/01/2026,59,,T1/26,52,Pix recebido
647,EAD,Google Ads,Pediatria,Vendedor 2,Contato Realizado,Em andamento,1080.00,05/05/2026,50,,T1/26,92,Pediu proposta
648,R2,Congresso,Medicina do Trabalho,Vendedor 2,Negociação,Em andamento,7225.00,10/05/2026,21,,T1/26,80,Esperando retorno do cônjuge
649,POS,Parceiro Clínica,Psiquiatria,Vendedor 6,Matriculado,Ganho,32300.00,24/03/2026,37,,T1/26,33,Pagamento confirmado
650,SHHE,WhatsApp,Nutrologia,Vendedor 1,Matriculado,Ganho,14900.00,10/06/2026,98,,T3/26,78,Pagamento confirmado
651,POS,WhatsApp,Nutrologia,Vendedor 2,Proposta Enviada,Em andamento,34200.00,05/03/2026,32,,T2/26,69,Aguardando leitura
652,HTI,LinkedIn,Dermatologia,Vendedor 7,Proposta Enviada,Em andamento,17748.00,25/03/2026,69,,T1/26,88,Aguardando leitura
653,POS,Parceiro Clínica,Ortopedia,Vendedor 2,Proposta Enviada,Em andamento,34200.00,31/05/2026,61,,T1/26,70,Proposta personalizada enviada
654,R2,Site Orgânico,Nutrologia,Vendedor 6,Contato Realizado,Em andamento,8500.00,26/06/2026,13,,T2/26,73,Interesse demonstrado
655,R2,WhatsApp,Endocrinologia,Vendedor 6,Proposta Enviada,Em andamento,8500.00,08/05/2026,26,,T1/26,98,Follow-up agendado para 3 dias
656,NEXAL,Instagram,Ginecologia,Vendedor 3,Perdido,Perdido,9800.00,27/02/2026,103,Escolheu concorrente,T1/26,73,Não retornou após 5 contatos
657,HTI,Parceiro Clínica,Ortopedia,Vendedor 2,Proposta Enviada,Em andamento,17748.00,20/01/2026,102,,T3/26,94,Proposta personalizada enviada
658,POS,Congresso,Nutrologia,Vendedor 5,Proposta Enviada,Em andamento,38000.00,12/05/2026,80,,T4/26,100,Follow-up agendado para 3 dias
659,HTI,Congresso,Endocrinologia,Vendedor 6,Negociação,Em andamento,15973.20,30/04/2026,106,,T3/26,98,Em análise de parcelamento
660,R2,Indicação,Ortopedia,Vendedor 5,Proposta Enviada,Em andamento,8500.00,08/02/2026,31,,T3/26,85,Proposta personalizada enviada
661,NEXAL,LinkedIn,Neurologia,Vendedor 5,Matriculado,Ganho,9800.00,15/03/2026,106,,T2/26,62,Boleto gerado
662,POS,Email Marketing,Clínica Geral,Vendedor 5,Contato Realizado,Em andamento,38000.00,21/03/2026,103,,T4/26,92,Pediu proposta
663,POS,Site Orgânico,Neurologia,Vendedor 7,Contato Realizado,Em andamento,38000.00,08/01/2026,18,,T3/26,65,Pediu proposta
664,R2,Google Ads,Neurologia,Vendedor 1,Lead Captado,Em andamento,7650.00,06/01/2026,63,,T1/26,40,Aguardando primeiro contato
665,R2,Instagram,Clínica Geral,Vendedor 2,Matriculado,Ganho,7650.00,24/01/2026,85,,T4/26,47,Boleto gerado
666,HTI,Parceiro Clínica,Geriatria,Vendedor 6,Perdido,Perdido,16860.60,29/05/2026,86,Questões financeiras pessoais,T3/26,93,Lead frio
667,SHHE,Parceiro Clínica,Clínica Geral,Vendedor 1,Matriculado,Ganho,14900.00,30/05/2026,107,,T4/26,60,Parcelado 12x aprovado
668,SHHE,Google Ads,Clínica Geral,Vendedor 5,Contato Realizado,Em andamento,14900.00,15/04/2026,57,,T3/26,37,Interesse demonstrado
669,R2,WhatsApp,Geriatria,Vendedor 7,Proposta Enviada,Em andamento,8500.00,24/06/2026,61,,T2/26,65,Follow-up agendado para 3 dias
670,NEXAL,Webinar,Geriatria,Vendedor 3,Matriculado,Ganho,9800.00,05/06/2026,83,,T1/26,36,Boleto gerado
671,NEXAL,Congresso,Psiquiatria,Vendedor 3,Matriculado,Ganho,8820.00,25/06/2026,47,,T1/26,98,Boleto gerado
672,POS,Site Orgânico,Ginecologia,Vendedor 2,Perdido,Perdido,38000.00,24/01/2026,39,Não respondeu após follow-up,T3/26,56,Lead frio
673,POS,WhatsApp,Neurologia,Vendedor 2,Matriculado,Ganho,38000.00,21/01/2026,111,,T4/26,90,Parcelado 12x aprovado
674,NEXAL,Site Orgânico,Clínica Geral,Vendedor 1,Contato Realizado,Em andamento,9800.00,17/01/2026,65,,T3/26,83,Pediu proposta
675,EAD,Congresso,Geriatria,Vendedor 3,Negociação,Em andamento,1200.00,14/01/2026,98,,T2/26,86,Proposta revisada enviada
676,HTI,Site Orgânico,Cardiologia,Vendedor 4,Proposta Enviada,Em andamento,16860.60,29/01/2026,11,,T2/26,61,Aguardando leitura
677,EAD,Google Ads,Medicina do Trabalho,Vendedor 4,Proposta Enviada,Em andamento,1200.00,03/05/2026,58,,T2/26,63,Follow-up agendado para 3 dias
678,EAD,Parceiro Clínica,Nutrologia,Vendedor 1,Proposta Enviada,Em andamento,1200.00,05/04/2026,54,,T2/26,80,Proposta personalizada enviada
679,R2,Email Marketing,Ginecologia,Vendedor 7,Perdido,Perdido,7650.00,10/06/2026,79,Não respondeu após follow-up,T1/26,89,Lead frio
680,NEXAL,Google Ads,Ginecologia,Vendedor 2,Negociação,Em andamento,9310.00,08/02/2026,34,,T1/26,77,Proposta revisada enviada
681,R2,LinkedIn,Ginecologia,Vendedor 4,Negociação,Em andamento,7225.00,27/04/2026,118,,T4/26,45,Proposta revisada enviada
682,EAD,Email Marketing,Cardiologia,Vendedor 1,Matriculado,Ganho,1200.00,07/05/2026,37,,T4/26,46,Parcelado 12x aprovado
683,SHHE,Parceiro Clínica,Cardiologia,Vendedor 1,Proposta Enviada,Em andamento,13410.00,18/04/2026,25,,T2/26,82,Follow-up agendado para 3 dias
684,HTI,Instagram,Dermatologia,Vendedor 5,Negociação,Em andamento,17748.00,30/05/2026,48,,T4/26,40,Aguardando aprovação financeira
685,POS,Google Ads,Nutrologia,Vendedor 4,Proposta Enviada,Em andamento,38000.00,09/04/2026,92,,T4/26,62,Follow-up agendado para 3 dias
686,HTI,Congresso,Ginecologia,Vendedor 7,Proposta Enviada,Em andamento,17748.00,01/04/2026,61,,T1/26,30,Proposta personalizada enviada
687,R2,Parceiro Clínica,Psiquiatria,Vendedor 3,Perdido,Perdido,7650.00,03/02/2026,48,Questões financeiras pessoais,T1/26,52,Não retornou após 5 contatos
688,SHHE,Congresso,Pediatria,Vendedor 3,Matriculado,Ganho,14900.00,23/03/2026,12,,T4/26,48,Pix recebido
689,HTI,WhatsApp,Ginecologia,Vendedor 5,Negociação,Em andamento,15085.80,03/04/2026,36,,T4/26,66,Esperando retorno do cônjuge
690,R2,Instagram,Ortopedia,Vendedor 3,Proposta Enviada,Em andamento,8500.00,06/05/2026,41,,T2/26,86,Follow-up agendado para 3 dias
691,SHHE,Google Ads,Ginecologia,Vendedor 5,Contato Realizado,Em andamento,14900.00,11/02/2026,34,,T4/26,85,Demo agendada
692,POS,Indicação,Pediatria,Vendedor 3,Perdido,Perdido,36100.00,28/04/2026,63,Desistiu por mudança de prioridades,T1/26,48,Lead frio
693,NEXAL,LinkedIn,Cardiologia,Vendedor 1,Proposta Enviada,Em andamento,8330.00,11/05/2026,22,,T3/26,57,Aguardando leitura
694,HTI,Congresso,Medicina do Trabalho,Vendedor 5,Proposta Enviada,Em andamento,17748.00,08/05/2026,32,,T1/26,72,Follow-up agendado para 3 dias
695,NEXAL,LinkedIn,Psiquiatria,Vendedor 3,Negociação,Em andamento,9800.00,24/03/2026,108,,T2/26,33,Aguardando aprovação financeira
696,POS,Webinar,Pediatria,Vendedor 4,Perdido,Perdido,36100.00,02/01/2026,85,Adiou para próxima turma,T1/26,87,Não retornou após 5 contatos
697,EAD,Parceiro Clínica,Endocrinologia,Vendedor 5,Matriculado,Ganho,1020.00,14/03/2026,83,,T3/26,37,Pagamento confirmado
698,R2,Parceiro Clínica,Psiquiatria,Vendedor 7,Proposta Enviada,Em andamento,8500.00,13/04/2026,31,,T1/26,32,Follow-up agendado para 3 dias
699,SHHE,Site Orgânico,Psiquiatria,Vendedor 3,Matriculado,Ganho,13410.00,31/01/2026,20,,T3/26,92,Parcelado 12x aprovado
700,EAD,Instagram,Neurologia,Vendedor 6,Contato Realizado,Em andamento,1080.00,05/04/2026,13,,T2/26,92,Interesse demonstrado
701,POS,Webinar,Dermatologia,Vendedor 6,Negociação,Em andamento,38000.00,19/04/2026,97,,T3/26,53,Em análise de parcelamento
702,EAD,Site Orgânico,Clínica Geral,Vendedor 7,Negociação,Em andamento,1200.00,27/02/2026,87,,T2/26,93,Aguardando aprovação financeira
703,NEXAL,Webinar,Psiquiatria,Vendedor 7,Perdido,Perdido,9800.00,08/02/2026,39,Sem tempo no momento,T3/26,61,Confirmou escolha do concorrente
704,POS,Instagram,Medicina do Trabalho,Vendedor 7,Negociação,Em andamento,38000.00,28/01/2026,66,,T4/26,82,Aguardando aprovação financeira
705,POS,Parceiro Clínica,Dermatologia,Vendedor 3,Proposta Enviada,Em andamento,38000.00,09/05/2026,99,,T1/26,44,Aguardando leitura
706,EAD,Webinar,Endocrinologia,Vendedor 1,Contato Realizado,Em andamento,1200.00,22/01/2026,6,,T4/26,68,Interesse demonstrado
707,R2,Webinar,Neurologia,Vendedor 2,Negociação,Em andamento,8500.00,17/02/2026,44,,T2/26,53,Aguardando aprovação financeira
708,EAD,Parceiro Clínica,Dermatologia,Vendedor 1,Matriculado,Ganho,1200.00,05/01/2026,69,,T1/26,80,Pagamento confirmado
709,HTI,Google Ads,Neurologia,Vendedor 2,Negociação,Em andamento,17748.00,18/06/2026,112,,T4/26,68,Esperando retorno do cônjuge
710,EAD,Site Orgânico,Dermatologia,Vendedor 7,Contato Realizado,Em andamento,1200.00,29/01/2026,25,,T1/26,54,Demo agendada
711,SHHE,Webinar,Neurologia,Vendedor 5,Matriculado,Ganho,14900.00,10/06/2026,108,,T2/26,41,Pix recebido
712,POS,Google Ads,Pediatria,Vendedor 2,Lead Captado,Em andamento,38000.00,09/02/2026,116,,T4/26,92,Aguardando primeiro contato
713,HTI,Webinar,Medicina do Trabalho,Vendedor 5,Contato Realizado,Em andamento,16860.60,11/04/2026,107,,T1/26,72,Demo agendada
714,HTI,Site Orgânico,Psiquiatria,Vendedor 1,Negociação,Em andamento,16860.60,22/05/2026,77,,T3/26,34,Em análise de parcelamento
715,POS,Webinar,Ortopedia,Vendedor 6,Matriculado,Ganho,34200.00,05/05/2026,116,,T2/26,37,Pagamento confirmado
716,POS,Parceiro Clínica,Nutrologia,Vendedor 6,Lead Captado,Em andamento,34200.00,02/05/2026,54,,T1/26,93,Aguardando primeiro contato
717,POS,Site Orgânico,Ginecologia,Vendedor 5,Proposta Enviada,Em andamento,38000.00,30/03/2026,61,,T4/26,59,Aguardando leitura
718,SHHE,Parceiro Clínica,Neurologia,Vendedor 3,Perdido,Perdido,12665.00,18/06/2026,108,Desistiu por mudança de prioridades,T2/26,67,Confirmou escolha do concorrente
719,EAD,Site Orgânico,Psiquiatria,Vendedor 1,Perdido,Perdido,1080.00,03/04/2026,95,Desistiu por mudança de prioridades,T2/26,56,Não retornou após 5 contatos
720,EAD,LinkedIn,Neurologia,Vendedor 2,Contato Realizado,Em andamento,1200.00,05/06/2026,21,,T4/26,42,Interesse demonstrado
721,POS,Instagram,Cardiologia,Vendedor 5,Negociação,Em andamento,38000.00,08/03/2026,46,,T3/26,50,Proposta revisada enviada
722,R2,Indicação,Clínica Geral,Vendedor 3,Proposta Enviada,Em andamento,8075.00,31/01/2026,30,,T2/26,92,Proposta personalizada enviada
723,NEXAL,WhatsApp,Ginecologia,Vendedor 1,Matriculado,Ganho,9800.00,08/02/2026,115,,T1/26,36,Parcelado 12x aprovado
724,POS,LinkedIn,Clínica Geral,Vendedor 1,Negociação,Em andamento,32300.00,27/01/2026,110,,T1/26,94,Aguardando aprovação financeira
725,SHHE,LinkedIn,Cardiologia,Vendedor 3,Contato Realizado,Em andamento,14900.00,24/04/2026,91,,T4/26,42,Demo agendada
726,EAD,WhatsApp,Nutrologia,Vendedor 1,Contato Realizado,Em andamento,1020.00,23/04/2026,26,,T4/26,30,Demo agendada
727,POS,WhatsApp,Dermatologia,Vendedor 6,Contato Realizado,Em andamento,38000.00,17/04/2026,48,,T3/26,61,Demo agendada
728,R2,Site Orgânico,Cardiologia,Vendedor 5,Matriculado,Ganho,8500.00,15/04/2026,118,,T4/26,96,Pix recebido
729,HTI,Webinar,Endocrinologia,Vendedor 1,Lead Captado,Em andamento,15085.80,18/01/2026,67,,T1/26,73,Aguardando primeiro contato
730,POS,Google Ads,Psiquiatria,Vendedor 7,Proposta Enviada,Em andamento,38000.00,14/06/2026,85,,T2/26,37,Aguardando leitura
731,EAD,Congresso,Dermatologia,Vendedor 2,Proposta Enviada,Em andamento,1080.00,22/05/2026,90,,T3/26,70,Proposta personalizada enviada
732,HTI,Instagram,Ortopedia,Vendedor 6,Perdido,Perdido,15973.20,25/04/2026,52,Não respondeu após follow-up,T4/26,74,Confirmou escolha do concorrente
733,POS,Email Marketing,Dermatologia,Vendedor 7,Lead Captado,Em andamento,38000.00,02/02/2026,50,,T3/26,57,Aguardando primeiro contato
734,R2,Congresso,Dermatologia,Vendedor 6,Proposta Enviada,Em andamento,7650.00,06/01/2026,21,,T1/26,99,Aguardando leitura
735,NEXAL,Email Marketing,Dermatologia,Vendedor 4,Proposta Enviada,Em andamento,9310.00,16/01/2026,15,,T3/26,63,Aguardando leitura
736,R2,WhatsApp,Clínica Geral,Vendedor 7,Matriculado,Ganho,8500.00,18/03/2026,58,,T1/26,88,Pix recebido
737,SHHE,Parceiro Clínica,Medicina do Trabalho,Vendedor 4,Matriculado,Ganho,13410.00,17/05/2026,86,,T2/26,74,Pix recebido
738,NEXAL,Parceiro Clínica,Neurologia,Vendedor 5,Matriculado,Ganho,9310.00,05/03/2026,95,,T1/26,71,Boleto gerado
739,NEXAL,Webinar,Clínica Geral,Vendedor 5,Matriculado,Ganho,8330.00,21/01/2026,53,,T1/26,37,Parcelado 12x aprovado
740,SHHE,Webinar,Cardiologia,Vendedor 2,Lead Captado,Em andamento,13410.00,14/04/2026,68,,T4/26,63,Aguardando primeiro contato
741,EAD,Site Orgânico,Pediatria,Vendedor 4,Perdido,Perdido,1200.00,17/04/2026,94,Sem tempo no momento,T2/26,94,Lead frio
742,POS,Webinar,Endocrinologia,Vendedor 4,Negociação,Em andamento,36100.00,27/06/2026,16,,T2/26,88,Em análise de parcelamento
743,HTI,Google Ads,Ortopedia,Vendedor 3,Perdido,Perdido,17748.00,15/04/2026,78,Escolheu concorrente,T1/26,77,Confirmou escolha do concorrente
744,NEXAL,Indicação,Ortopedia,Vendedor 5,Contato Realizado,Em andamento,9800.00,19/03/2026,48,,T3/26,92,Demo agendada
745,SHHE,Google Ads,Medicina do Trabalho,Vendedor 2,Lead Captado,Em andamento,14900.00,14/03/2026,114,,T2/26,53,Aguardando primeiro contato
746,HTI,LinkedIn,Ortopedia,Vendedor 3,Lead Captado,Em andamento,17748.00,04/05/2026,54,,T3/26,87,Aguardando primeiro contato
